titulo,autor,genero,nota,n_aval,leram,lendo,querem_ler,relendo,abandonaram,favoritos,n_resenhas,mais_lidos,mais_lendo,mais_quero_ler,mais_abondonados,mais_desejados,mais_favoritos,literatura,ficção/não_ficção
Garota Exemplar,Gillian Flynn,Suspense e Mistério / Literatura Estrangeira / Romance policial ,4.3,30164,54518,3512,92789,45,2133,6840,2532,,,65.0,84.0,42.0,,literatura estrangeira,ficção
Harry Potter e o Enigma do Príncipe (Harry Potter #6),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,152311,451078,4643,196082,682,1133,39354,5391,8.0,86.0,8.0,,34.0,7.0,literatura estrangeira,ficção
Os sete maridos de Evelyn Hugo,Taylor Jenkins Reid,Ficção / LGBT / GLS / Literatura Estrangeira / Romance ,4.7,137619,191132,20260,174403,524,2117,44866,29991,42.0,4.0,15.0,88.0,21.0,4.0,literatura estrangeira,ficção
A Escolha (A Seleção #3),Kiera Cass,Ficção / Literatura Estrangeira / Romance ,4.4,129593,301849,3732,119048,352,876,29329,8115,25.0,,39.0,,26.0,16.0,literatura estrangeira,ficção
Orgulho e preconceito,Jane Austen,Ficção / Literatura Estrangeira / Romance ,4.5,83028,136938,13783,98832,759,6657,27173,7671,66.0,13.0,60.0,10.0,13.0,19.0,literatura estrangeira,ficção
Um Sonho de Primavera (Crônicas do Gelo e Fogo #7),George R. R. Martin,Fantasia / Literatura Estrangeira ,4.4,237,3288,81,77226,6,52,240,4,,,79.0,,,,literatura estrangeira,ficção
O Diário de Anne Frank,Anne Frank,"Literatura Estrangeira / Biografia, Autobiografia, Memórias / Drama / Não-ficção ",4.5,111695,315386,21305,253896,694,8793,19696,8127,22.0,2.0,4.0,6.0,3.0,30.0,literatura estrangeira,não_ficção
Melancia (As Irmãs Walsh #1),Marian Keyes,Literatura Estrangeira / Ficção / Romance ,3.7,23841,63902,1236,11840,65,3402,2516,1141,,,,41.0,,,literatura estrangeira,ficção
A Menina que Roubava Livros,Markus Zusak,Drama / Ficção / Literatura Estrangeira / Romance / História ,4.5,135632,413413,16149,313709,1061,20560,42433,5571,12.0,9.0,1.0,1.0,2.0,5.0,literatura estrangeira,ficção
Sapiens,Yuval Noah Harari,História / Literatura Estrangeira ,4.6,17460,27715,9295,35980,112,1245,3438,1591,,34.0,,,,,literatura estrangeira,não_ficção
A Tormenta de Espadas (Crônicas do Gelo e Fogo #3),George R. R. Martin,Literatura Estrangeira / Fantasia / Ficção ,4.8,38752,83117,4808,117728,122,1104,12690,983,,83.0,41.0,,104.0,55.0,literatura estrangeira,ficção
Paixão (Fallen #3),Lauren Kate,Fantasia / Ficção / Literatura Estrangeira / Romance ,3.8,24921,55344,1054,72521,56,1054,3585,620,,,93.0,,,,literatura estrangeira,ficção
Príncipe Mecânico (As Peças Infernais #2),Cassandra Clare,Fantasia / Infantojuvenil / Literatura Estrangeira / Romance ,4.5,25127,43753,1068,35487,75,250,7002,1884,,,,,93.0,,literatura estrangeira,ficção
O Festim dos Corvos (Crônicas do Gelo e Fogo #4),George R. R. Martin,Fantasia / Literatura Estrangeira ,4.4,30695,60321,3648,124664,81,779,6620,724,,,35.0,,87.0,,literatura estrangeira,ficção
Rainha das Sombras (Trono de Vidro #4),Sarah Janet Maas,Fantasia / Literatura Estrangeira / Romance ,4.7,34601,57211,1752,39006,118,229,9391,4048,,,,,,93.0,literatura estrangeira,ficção
Assassinato No Expresso do Oriente,Agatha Christie,Romance policial / Crime / Suspense e Mistério ,4.3,61316,112581,3102,37937,76,1326,6909,5153,88.0,,,,,,literatura estrangeira,ficção
Memórias Póstumas de Brás Cubas (Obra-Prima de Cada Autor #18),Machado de Assis,Ficção / Literatura Brasileira / Romance ,4.1,57326,151337,4394,29573,303,3963,6847,2588,59.0,95.0,,30.0,,,literatura brasileira,ficção
P.S. Eu Te Amo (P.S. Te Amo #1),Cecelia Ahern,Ficção / Literatura Estrangeira / Romance ,4.2,14908,36960,1468,107603,70,1114,3136,924,,,51.0,,,,literatura estrangeira,ficção
A Droga da Obediência (Os Karas #1),Pedro Bandeira de Luna Filho,Aventura / Ficção / Literatura Brasileira / Romance ,4.0,38046,109418,545,4621,115,402,3204,987,91.0,,,,,,literatura brasileira,ficção
1984,George Orwell,Distopia / Ficção científica ,4.5,80178,152403,20275,162825,430,4572,16980,8274,56.0,3.0,18.0,22.0,7.0,37.0,literatura estrangeira,ficção
A Herdeira (A Seleção #4),Kiera Cass,Ficção / Literatura Estrangeira / Romance / Distopia / Infantojuvenil ,3.4,67071,158837,3751,64966,165,4366,6512,3423,54.0,,,23.0,64.0,,literatura estrangeira,ficção
Bíblia Sagrada,Vários,Religião e Espiritualidade ,4.6,5780,10853,7730,2551,1442,871,3478,487,,44.0,,,,,literatura estrangeira,ficção
O Nome do Vento (A Crônica do Matador do Rei #1),Patrick Rothfuss,Fantasia / Ficção / Literatura Estrangeira ,4.7,20889,31922,3938,40643,223,881,9037,1436,,,,,83.0,99.0,literatura estrangeira,ficção
Duna (Crônicas de Duna #1),Frank Hebert,Ficção científica / Literatura Estrangeira / Ficção / Aventura / Jovem adulto ,4.5,16559,22396,6831,48435,75,1318,4305,2832,,54.0,,,,,literatura estrangeira,ficção
O Rei Perverso (O Povo do Ar #2),Holly Black,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.5,75686,105871,5850,45890,144,753,13674,10723,96.0,68.0,,,,48.0,literatura estrangeira,ficção
O Mundo de Sofia,Jostein Gaarder,Filosofia / Literatura Estrangeira / Romance / Ficção ,4.2,43219,129754,11388,87430,755,13052,9461,1960,71.0,21.0,67.0,3.0,43.0,90.0,literatura estrangeira,ficção
1808,Laurentino Gomes,História / História do Brasil / História Geral ,4.1,18253,35688,3176,69358,83,2607,1554,869,,,100.0,61.0,,,literatura brasileira,não_ficção
Princesa Mecânica (As Peças Infernais #3),Cassandra Clare,Fantasia / Infantojuvenil / Literatura Estrangeira / Romance ,4.7,23399,40918,849,41912,58,219,9704,2110,,,,,89.0,85.0,literatura estrangeira,ficção
O Homem de Giz,C.J. Tudor,Ficção / Literatura Estrangeira / Suspense e Mistério ,3.7,42170,66120,5026,64075,87,2266,2475,5681,,80.0,,75.0,,,literatura estrangeira,ficção
Cinquenta Tons Mais Escuros (Cinquenta Tons de Cinza #2),E. L. James,Erótico / Romance / Literatura Estrangeira / Ficção ,3.9,46184,166212,2379,18511,240,1868,7839,985,51.0,,,,,,literatura estrangeira,ficção
Anne de Green Gables #1,Lucy Maud Montgomery,Romance / Literatura Estrangeira / Ficção ,4.2,41774,63825,7409,41004,147,3113,5652,6112,,47.0,,49.0,,,literatura estrangeira,ficção
A Vida Invisível de Addie LaRue,V.E. Schwab,Fantasia / Ficção / Literatura Estrangeira ,4.4,27309,33737,10547,79290,74,2067,7818,6729,,27.0,76.0,93.0,,,literatura estrangeira,ficção
Anjo Mecânico (As Peças Infernais #1),Cassandra Clare,Fantasia / Infantojuvenil / Literatura Estrangeira / Ficção / Romance ,4.4,31047,53621,1977,45851,138,630,7634,2530,,,,,59.0,,literatura estrangeira,ficção
A Cidade do Sol,Khaled Hosseini,Ficção / Romance / Drama / Literatura Estrangeira ,4.5,36010,89711,1265,36876,102,1296,9423,1626,,,,,,91.0,literatura estrangeira,ficção
Alice No País das Maravilhas,Lewis Carroll,Infantil / Fantasia / Ficção / Infantojuvenil ,4.1,42421,113201,3313,40382,195,1053,5577,3181,84.0,,,,,,literatura estrangeira,ficção
Mulheres que Correm com os Lobos,Clarissa Pinkola Estés,Literatura Estrangeira / Psicologia / Não-ficção ,4.3,5675,11730,12555,53689,210,2356,1819,786,,15.0,,72.0,,,literatura estrangeira,não_ficção
As Duas Torres (O Senhor dos Anéis #2),J. R. R. Tolkien,Aventura / Drama / Fantasia / Ficção / Literatura Estrangeira / Suspense e Mistério ,4.6,34229,82926,2486,65925,151,1114,8669,1256,,,105.0,,103.0,106.0,literatura estrangeira,ficção
A Garota do Lago,Charlie Donlea,Ficção / Suspense e Mistério ,3.9,51202,62710,5528,27028,53,2559,3007,9226,,73.0,,65.0,,,literatura estrangeira,ficção
É Assim Que Começa (É Assim Que Acaba #2),Colleen Hoover,Drama / Ficção / Literatura Estrangeira / Romance ,4.6,59918,77505,10734,51566,87,173,10465,12226,,25.0,,,,74.0,literatura estrangeira,ficção
A Hipótese do Amor,Ali Hazelwood,Ficção / Literatura Estrangeira / Romance / Chick-lit / Contos / Jovem adulto ,4.5,57310,73044,6937,62234,135,556,10382,10674,,53.0,,,,77.0,literatura estrangeira,ficção
A Lista do Ódio,Jennifer Brown,Drama / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.1,14669,24490,1103,48895,14,717,3226,1019,,,,,76.0,,literatura estrangeira,ficção
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil ,4.5,223417,728628,9930,166512,1934,3591,49260,11939,1.0,31.0,16.0,37.0,14.0,3.0,literatura estrangeira,ficção
Senhora,José Martiniano de Alencar,Romance / Literatura Brasileira / Ficção ,3.8,27617,65658,1287,10171,94,2184,2836,1062,,,,81.0,,,literatura brasileira,ficção
O Duque e Eu (Os Bridgertons #1),Julia Quinn,Ficção / Literatura Estrangeira / Romance ,3.8,72965,122229,4338,36440,209,1451,8064,8472,77.0,96.0,,,,,literatura estrangeira,ficção
O Poder do Hábito,Charles Duhigg,Não-ficção ,4.2,17578,30916,7830,36559,111,2003,1830,1469,,41.0,,97.0,,,literatura estrangeira,não_ficção
Eu e Esse Meu Coração,C.C. Hunter,Ficção / Jovem adulto / Literatura Estrangeira / Romance / Suspense e Mistério ,4.3,24003,28734,4540,33847,58,806,3596,4322,,91.0,,,,,literatura estrangeira,ficção
Eclipse  (Crepúsculo #3),Stephenie Meyer,Fantasia / Literatura Estrangeira / Autoajuda / Chick-lit / Ficção / Romance ,3.8,102384,328768,2027,23083,405,2867,11705,2086,18.0,,,53.0,,62.0,literatura estrangeira,ficção
Divergente (Divergente  #1),Veronica Roth,Literatura Estrangeira / Ficção / Distopia / Infantojuvenil / Jovem adulto ,4.3,65412,141881,3228,55359,224,1486,13805,2861,64.0,,,,45.0,47.0,literatura estrangeira,ficção
Todas as Suas (Im)Perfeições,Colleen Hoover,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.3,79562,118181,10111,117576,191,1655,12567,14383,81.0,29.0,42.0,,67.0,57.0,literatura estrangeira,ficção
It: A Coisa,Stephen King,Literatura Estrangeira / Ficção / Terror ,4.5,28202,53432,14875,140495,238,3324,10561,3303,,11.0,25.0,44.0,28.0,73.0,literatura estrangeira,ficção
O Iluminado,Stephen  King,Ficção / Horror / Literatura Estrangeira / Suspense e Mistério ,4.4,35942,59015,4876,56538,136,1549,7857,3351,,82.0,,,53.0,,literatura estrangeira,ficção
Perdida #1,Carina Rissi,Ficção / Literatura Brasileira / Romance ,4.5,43977,81658,2253,71648,248,977,15038,3550,,,96.0,,50.0,41.0,literatura brasileira,ficção
Vidas Secas,Graciliano Ramos,Romance ,4.0,45602,107246,1629,14896,150,1890,4293,1848,93.0,,,104.0,,,literatura brasileira,ficção
Corte de Névoa e Fúria (Corte de Espinhos e Rosas #2),Sarah Janet Maas,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.6,89430,152264,7401,85919,583,1423,28761,11043,57.0,48.0,70.0,,52.0,17.0,literatura estrangeira,ficção
Cidades de Papel,John Michael Green,Literatura Estrangeira ,3.6,72388,183460,5202,145515,215,4918,8799,2974,46.0,76.0,21.0,21.0,57.0,104.0,literatura estrangeira,ficção
Coraline,Neil Gaiman,Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Suspense e Mistério / Terror / Aventura / Horror ,4.4,54621,88267,4285,79990,236,619,9117,7068,,98.0,75.0,,40.0,96.0,literatura estrangeira,ficção
Ponto de Impacto,Dan Brown,Ficção / Literatura Estrangeira / Suspense e Mistério / Ficção científica ,4.0,33777,100501,1321,35811,37,1928,3447,871,103.0,,,103.0,,,literatura estrangeira,ficção
O apanhador no campo de centeio,O apanhador no campo de centeio,Literatura Estrangeira / Ficção / Romance ,4.0,24039,43518,1830,34170,142,1087,4752,1778,,,,,81.0,,literatura estrangeira,ficção
A Marca de Atena (Os Heróis do Olimpo #3),Rick Riordan,Ficção científica / Infantojuvenil / Literatura Estrangeira / Suspense e Mistério ,4.5,46455,102040,3268,72737,167,758,9675,2218,101.0,,92.0,,91.0,87.0,literatura estrangeira,ficção
Em Chamas (Jogos Vorazes #2),Suzanne Collins,Distopia ,4.6,106228,269938,4172,134880,309,1062,29744,4901,29.0,99.0,27.0,,15.0,15.0,literatura estrangeira,ficção
O conde de Monte Cristo,Alexandre Dumas,Ficção / Literatura Estrangeira / Romance ,4.5,12585,22842,2914,31111,89,494,3643,1128,,,,,82.0,,literatura estrangeira,ficção
O Acordo (Amores Improváveis #1),Elle Kennedy,Literatura Estrangeira / Romance ,4.3,67238,110135,2842,40229,347,672,10249,7979,90.0,,,,,78.0,literatura estrangeira,ficção
A Seleção #1,Kiera Cass,Jovem adulto / Romance / Ficção ,4.3,164402,388615,9929,164563,1079,2454,33788,12317,13.0,30.0,17.0,70.0,11.0,14.0,literatura estrangeira,ficção
Drácula,Bram Stoker,Ficção / Horror / Literatura Estrangeira / Suspense e Mistério / Terror ,4.2,29688,50655,5234,39040,152,1874,5250,2739,,75.0,,106.0,,,literatura estrangeira,ficção
Cidade de Vidro (Os Instrumentos Mortais #3),Cassandra Clare,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.4,42914,90251,1783,111534,119,685,10796,2019,,,49.0,,69.0,68.0,literatura estrangeira,ficção
A Dança dos Dragões (Crônicas do Gelo e Fogo #5),George R. R. Martin,Fantasia / Literatura Estrangeira ,4.7,25535,50173,3861,125220,93,697,7244,599,,,34.0,,92.0,,literatura estrangeira,ficção
Capitães da Areia,Jorge Amado,Ficção / Literatura Brasileira / Romance ,4.3,54062,146243,2886,23718,208,2109,10793,2862,61.0,,,90.0,,69.0,literatura brasileira,ficção
As Crônicas de Nárnia,Clive Staples Lewis ,Aventura / Crônicas / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Infantil ,4.5,65606,207463,24107,198233,825,10247,20172,2926,40.0,1.0,6.0,5.0,20.0,28.0,literatura estrangeira,ficção
O Lado Feio do Amor,Colleen Hoover,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.1,70760,112841,5947,117062,171,1047,9924,11022,87.0,66.0,43.0,,56.0,82.0,literatura estrangeira,ficção
Memórias de um Sargento de Milícias (Bom Livro),Manuel Antônio de Almeida,Romance / Literatura Brasileira / Ficção ,3.4,26568,100472,887,8446,60,2114,889,687,104.0,,,87.0,,,literatura brasileira,ficção
O Guia do Mochileiro das Galáxias #1,Douglas Adams,Ficção científica / Fantasia / Literatura Estrangeira ,4.3,53510,117580,4556,44031,353,2686,9703,2167,82.0,90.0,,58.0,,84.0,literatura estrangeira,ficção
A Hospedeira,Stephenie Meyer,Ficção científica / Literatura Estrangeira ,4.2,38727,105136,2344,51056,209,8209,9751,1780,99.0,,,8.0,,83.0,literatura estrangeira,ficção
Estilhaça-me #1,Tahereh Mafi,Distopia / Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,4.0,61085,95473,6331,77061,251,1956,5898,8272,,62.0,80.0,100.0,63.0,,literatura estrangeira,ficção
A Moreninha (Série Bom Livro),Joaquim Manuel de Macedo,Literatura Brasileira / Ficção / Romance ,3.6,25641,102238,526,5740,57,1222,1892,725,100.0,,,,,,literatura brasileira,ficção
Crime e Castigo (A Obra-prima de cada autor,Fiódor Dostoiévski,Literatura Estrangeira / Ficção / Romance ,4.6,24071,42903,6671,56135,222,2551,6186,1572,,56.0,,66.0,97.0,,literatura estrangeira,ficção
A Sutil Arte de Ligar o F*da-se,Manson Mark,Literatura Estrangeira / Não-ficção ,3.7,28026,42239,5741,22800,113,3139,1907,2288,,72.0,,48.0,,,literatura estrangeira,não_ficção
Trono de Vidro #1,Sarah J. Maas,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.3,63168,105873,6283,101412,392,1299,10835,7301,94.0,64.0,58.0,,36.0,67.0,literatura estrangeira,ficção
É Assim Que Acaba,Colleen Hoover,Drama / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.6,158344,246003,18341,183274,669,1253,36692,30783,31.0,7.0,12.0,,10.0,12.0,literatura estrangeira,ficção
"Comer, Rezar, Amar",Elizabeth Gilbert,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Romance / Turismo e Viagens ",3.9,17593,33859,1943,11901,87,3948,3040,846,,,,31.0,,,literatura estrangeira,não_ficção
O Menino do Pijama Listrado,John Boyne,Literatura Estrangeira / Romance / Drama / Ficção ,4.4,81352,331003,6657,302101,238,2206,13353,4181,17.0,57.0,2.0,79.0,1.0,50.0,literatura estrangeira,ficção
The Kiss of Deception (Crônicas de Amor e Ódio #1),Mary E. Pearson,Fantasia / Jovem adulto / Literatura Estrangeira / Ficção / Romance ,4.2,24780,38091,3678,66570,90,1739,5111,2650,,,104.0,,62.0,,literatura estrangeira,ficção
Ensaio Sobre a Cegueira,José Saramago,Ficção / Literatura Estrangeira / Romance ,4.6,31945,68664,3673,54808,124,2116,8241,2268,,,,86.0,58.0,,literatura estrangeira,ficção
Precisamos Falar Sobre o Kevin,Lionel Shriver,Crime / Ficção / Literatura Estrangeira / Romance / Drama ,4.5,12208,20932,2480,76796,30,1545,4081,1351,,,81.0,,39.0,,literatura estrangeira,ficção
O Príncipe (Classicos de Ouro),Nicolau Maquiavel,Política / Não-ficção / Filosofia / Literatura Estrangeira ,3.9,20947,41644,2758,16356,170,2086,1520,958,,,,92.0,,,literatura estrangeira,não_ficção
A Maldição do Tigre (A Saga do Tigre #1),Colleen Houck,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.3,30014,57630,2009,33606,246,1718,9108,1666,,,,,,97.0,literatura estrangeira,ficção
Crepúsculo #1,Stephenie Meyer,Romance / Literatura Estrangeira / Ficção / Fantasia ,3.8,131946,413604,5782,35856,948,6796,17164,5536,11.0,70.0,,9.0,,36.0,literatura estrangeira,ficção
Êxtase (Fallen #4),Lauren Kate,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.0,17744,41414,898,75015,44,818,3309,543,,,85.0,,,,literatura estrangeira,ficção
O Despertar (Diários do Vampiro #1),L. J. Smith,Ficção / Literatura Estrangeira / Jovem adulto ,3.4,35029,108972,1019,9326,96,1804,2379,980,92.0,,,,,,literatura estrangeira,ficção
A Divina Comédia (Obras Primas),Dante Alighieri,"Literatura Estrangeira / Poemas, poesias ",4.2,8708,17640,2795,24731,123,2119,1456,370,,,,85.0,,,literatura estrangeira,ficção
"Sussurro (Hush, Hush #01)",Becca Fitzpatrick,Jovem adulto / Literatura Estrangeira / Ficção / Romance ,4.2,52443,130862,1447,30311,286,1018,11693,2490,69.0,,,,,63.0,literatura estrangeira,ficção
Corte de Asas e Ruína (Corte de Espinhos e Rosas #3),Sarah Janet Maas,Fantasia / Ficção / Literatura Estrangeira / Romance / Jovem adulto ,4.5,72787,125207,8295,74102,302,1635,15060,8331,74.0,37.0,87.0,,88.0,40.0,literatura estrangeira,ficção
O Sol é Para Todos,Harper Lee,Ficção / Literatura Estrangeira ,4.6,28028,49002,3990,128632,75,771,8820,3253,,105.0,32.0,,18.0,103.0,literatura estrangeira,ficção
Harry Potter e a Câmara Secreta (Harry Potter #2),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Literatura Estrangeira / Infantojuvenil ,4.4,213752,589444,10917,120094,1148,2322,37954,8581,4.0,23.0,37.0,73.0,22.0,9.0,literatura estrangeira,ficção
O Visconde Que Me Amava (Os Bridgertons #2),Julia Quinn,Romance / Ficção / Literatura Estrangeira ,4.4,61905,100563,2234,25841,299,435,11980,7424,105.0,,,,,60.0,literatura estrangeira,ficção
Sombra e Ossos (Trilogia Grisha #1),Leigh Bardugo,Fantasia / Ficção / Jovem adulto / Aventura ,3.8,36804,53082,3311,61986,64,1191,2432,6077,,,,,106.0,,literatura estrangeira,ficção
Harry Potter e o Prisioneiro de Azkaban (Harry Potter #3),Joanne Kathleen Rowling,Aventura / Fantasia / Literatura Estrangeira / Ficção / Infantojuvenil ,4.7,193173,543240,8820,144912,932,1761,51843,8172,5.0,35.0,22.0,,24.0,1.0,literatura estrangeira,ficção
Espada de Vidro (A Rainha Vermelha #2),Victoria Aveyard,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,3.8,48315,94483,8474,83376,171,3994,4243,4860,,36.0,73.0,28.0,100.0,,literatura estrangeira,ficção
O Vendedor de Sonhos #1,Augusto Cury,Ficção / Literatura Brasileira / Romance / Psicologia ,3.8,22908,68406,1879,13889,97,3725,2595,729,,,,34.0,,,literatura brasileira,ficção
Cidade dos Ossos (Os Instrumentos Mortais #1),Cassandra Clare,Aventura / Fantasia / Ficção / LGBT / GLS / Literatura Estrangeira / Romance / Jovem adulto ,4.1,68452,169717,6357,134706,460,3666,12640,4171,50.0,61.0,28.0,36.0,33.0,56.0,literatura estrangeira,ficção
Cem anos de solidão,Gabriel García Márquez,Ficção / Literatura Estrangeira / Romance ,4.6,30057,54470,4669,53269,302,2368,10889,2062,,85.0,,71.0,61.0,66.0,literatura estrangeira,ficção
Um Dia,David Nicholls,Romance / Literatura Estrangeira / Ficção / Jovem adulto ,4.1,31970,60915,2946,63756,104,3990,7966,1856,,,,29.0,,,literatura estrangeira,ficção
Os Ventos do Inverno (Crônicas do Gelo e Fogo #6),George R. R. Martin,Fantasia / Literatura Estrangeira ,4.5,518,5729,230,102244,8,84,378,16,,,57.0,,54.0,,literatura estrangeira,ficção
A Batalha do Labirinto (Percy Jackson &amp; Os Olimpianos #4),Rick Riordan,Fantasia / Infantojuvenil / Literatura Estrangeira ,4.5,114495,286268,3350,73322,350,652,19513,4934,26.0,,90.0,,68.0,31.0,literatura estrangeira,ficção
O Orfanato da Srta. Peregrine Para Crianças Peculiares #1,Ransom Riggs,Aventura / Fantasia / Ficção / Literatura Estrangeira ,4.0,43036,89994,4562,57061,156,2772,5763,2306,,89.0,,55.0,85.0,,literatura estrangeira,ficção
Aristóteles e Dante descobrem os segredos do Universo (Aristóteles e Dante #1),Benjamin Alire Sáenz,Ficção / Jovem adulto / LGBT / GLS / Literatura Estrangeira / Romance ,4.3,48082,71626,3492,69059,216,1022,11650,7593,,,101.0,,99.0,64.0,literatura estrangeira,ficção
A Revolução dos Bichos,George Orwell,Ficção / Distopia / Literatura Estrangeira ,4.4,126859,281751,11036,130425,341,2542,17272,12867,28.0,22.0,30.0,67.0,17.0,35.0,literatura estrangeira,ficção
Harry Potter e as Relíquias da Morte (Harry Potter #7),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,147330,435921,4400,189711,855,1294,42111,5468,10.0,94.0,11.0,,37.0,6.0,literatura estrangeira,ficção
