titulo,autor,genero,nota,n_aval,leram,lendo,querem_ler,relendo,abandonaram,favoritos,n_resenhas,mais_favoritos
Harry Potter e o Prisioneiro de Azkaban (Harry Potter #3),Joanne Kathleen Rowling,Aventura / Fantasia / Literatura Estrangeira / Ficção / Infantojuvenil ,4.7,193150,543181,8820,144888,933,1761,51838,8171,1
Harry Potter e a Pedra Filosofal (Harry Potter #1),Joanne Kathleen Rowling,Aventura / Fantasia / Literatura Estrangeira / Ficção / Infantojuvenil ,4.5,261985,695007,17625,150161,2504,4015,51626,13614,2
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil ,4.5,223372,728517,9926,166487,1931,3591,49256,11938,3
Os sete maridos de Evelyn Hugo,Taylor Jenkins Reid,Ficção / LGBT / GLS / Literatura Estrangeira / Romance ,4.7,137571,191058,20241,174329,523,2114,44859,29985,4
A Menina que Roubava Livros,Markus Zusak,Drama / Ficção / Literatura Estrangeira / Romance / História ,4.5,135624,413367,16148,313686,1061,20561,42433,5571,5
Harry Potter e as Relíquias da Morte (Harry Potter #7),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,147318,435865,4400,189691,855,1294,42111,5468,6
Harry Potter e o Enigma do Príncipe (Harry Potter #6),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,152304,451078,4637,196067,682,1134,39353,5391,7
Harry Potter e o Cálice de Fogo (Harry Potter #4),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.6,170191,499034,11992,180471,1005,2610,39337,6496,8
Harry Potter e a Câmara Secreta (Harry Potter #2),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Literatura Estrangeira / Infantojuvenil ,4.4,213728,589375,10915,120072,1146,2322,37951,8581,9
Harry Potter e a Ordem da Fênix (Harry Potter #5),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Línguas Estrangeiras / Literatura Estrangeira / Romance ,4.6,154909,459478,9794,192196,889,2176,37154,5675,10
A Culpa é das Estrelas,John Michael Green,Literatura Estrangeira / Romance ,4.2,181963,590691,12211,255594,1096,5932,37076,8899,11
É Assim Que Acaba,Colleen Hoover,Drama / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.6,158268,245933,18336,183202,668,1255,36690,30768,12
Jogos Vorazes #1,Suzanne Collins,Distopia ,4.6,127263,324124,6652,181058,488,1792,33935,7501,13
A Seleção #1,Kiera Cass,Jovem adulto / Romance / Ficção ,4.3,164363,388503,9925,164521,1079,2452,33786,12315,14
Em Chamas (Jogos Vorazes #2),Suzanne Collins,Distopia ,4.6,106220,269883,4170,134865,309,1062,29742,4898,15
A Escolha (A Seleção #3),Kiera Cass,Ficção / Literatura Estrangeira / Romance ,4.4,129568,301787,3726,119025,354,874,29326,8113,16
Corte de Névoa e Fúria (Corte de Espinhos e Rosas #2),Sarah Janet Maas,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.6,89414,152210,7396,85902,583,1423,28761,11041,17
O Ladrão de Raios (Percy Jackson e os Olimpianos #1),Rick Riordan,Aventura / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Romance ,4.4,171101,447023,12041,119509,1420,3355,28684,10291,18
Orgulho e preconceito,Jane Austen,Ficção / Literatura Estrangeira / Romance ,4.5,83013,136926,13784,98814,759,6657,27173,7669,19
As Vantagens de Ser Invisível,Stephen Chbosky,Literatura Estrangeira / Ficção / Jovem adulto ,4.4,89473,189858,7593,190332,473,2745,26499,7899,20
Extraordinário,R. J. Palacio,Ficção / Infantojuvenil / Literatura Estrangeira ,4.5,92981,208344,5868,84584,270,2022,25855,5782,21
Como Eu Era Antes de Você #1,Jojo Moyes,Literatura Estrangeira / Romance / Ficção / Jovem adulto ,4.4,80278,203001,8145,153688,268,2861,23810,4742,22
O Último Olimpiano (Percy Jackson e os Olimpianos #5),Rick Riordan,Fantasia / Infantojuvenil ,4.6,106380,268092,2539,82540,308,571,22544,5068,23
A Esperança (Jogos Vorazes #3),Suzanne Collins,Aventura ,4.4,96469,244917,3976,143300,267,1425,21864,4722,24
"Quem É Você, Alasca?",John Michael Green,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.0,96832,237636,7940,196236,528,5168,20664,5628,25
A Maldição do Titã (Percy Jackson &amp; Os Olimpianos #03),Rick Riordan,Fantasia / Literatura Estrangeira ,4.5,122659,306963,3908,75034,405,903,20572,5574,26
A Elite (A Seleção #2),Kiera Cass,Ficção / Infantojuvenil / Literatura Estrangeira / Romance ,4.0,138239,323628,5759,112442,416,1615,20413,7835,27
As Crônicas de Nárnia,Clive Staples Lewis ,Aventura / Crônicas / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Infantil ,4.5,65602,207432,24106,198219,825,10248,20171,2926,28
A Guerra dos Tronos (Crônicas do Gelo e Fogo #1),George R. R. Martin,Fantasia / Aventura / Ficção / Jovem adulto / Literatura Estrangeira ,4.7,72360,171578,18519,118302,701,6233,19789,2574,29
O Diário de Anne Frank,Anne Frank,"Literatura Estrangeira / Biografia, Autobiografia, Memórias / Drama / Não-ficção ",4.5,111667,315342,21301,253862,694,8790,19696,8127,30
A Batalha do Labirinto (Percy Jackson &amp; Os Olimpianos #4),Rick Riordan,Fantasia / Infantojuvenil / Literatura Estrangeira ,4.5,114483,286245,3344,73311,350,652,19513,4934,31
"Vermelho, Branco e Sangue Azul",Casey McQuiston,"Humor, Comédia / LGBT / GLS / Romance ",4.4,85163,130753,20201,113812,813,6048,18512,14292,32
O Hobbit,J.R.R. Tolkien,Fantasia / Ficção ,4.5,67515,151611,7546,93148,512,2511,17635,3284,33
O Príncipe Cruel (O Povo do Ar #1),Holly Black,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.4,98260,149914,13465,124289,503,2260,17514,15775,34
A Revolução dos Bichos,George Orwell,Ficção / Distopia / Literatura Estrangeira ,4.4,126838,281681,11031,130402,341,2542,17272,12865,35
Crepúsculo #1,Stephenie Meyer,Romance / Literatura Estrangeira / Ficção / Fantasia ,3.8,131937,413557,5778,35841,948,6796,17164,5536,36
1984,George Orwell,Distopia / Ficção científica ,4.5,80168,152375,20271,162793,430,4564,16978,8274,37
A Rainha Vermelha #1,Victoria Aveyard,Ficção / Literatura Estrangeira / Fantasia / Jovem adulto / Distopia ,4.2,93210,184673,14500,206335,638,5063,16386,10229,38
O Mar de Monstros (Percy Jackson e os Olimpianos #2),Rick Riordan,Fantasia / Literatura Estrangeira / Aventura / Infantojuvenil ,4.2,136291,338904,4997,51787,504,1369,15454,6383,39
Corte de Asas e Ruína (Corte de Espinhos e Rosas #3),Sarah Janet Maas,Fantasia / Ficção / Literatura Estrangeira / Romance / Jovem adulto ,4.5,72773,125175,8298,74080,300,1634,15060,8330,40
Perdida #1,Carina Rissi,Ficção / Literatura Brasileira / Romance ,4.5,43976,81658,2253,71642,248,977,15038,3550,41
Daisy Jones &amp; The Six,Taylor Jenkins Reid,Romance / Ficção / Literatura Estrangeira / Música / Drama ,4.4,56803,68791,7150,73968,167,1279,14488,13160,42
Heartstopper #1,Alice Oseman,"HQ, comics, mangá / LGBT / GLS / Romance / Ficção / Jovem adulto / Literatura Estrangeira ",4.7,84353,113127,1784,34428,204,91,14388,13511,43
O Morro dos Ventos Uivantes,Emily Brontë,Ficção / Romance / Literatura Estrangeira ,4.0,68066,153700,10498,114633,537,10717,14174,6635,44
Por Lugares Incríveis,Jennifer Niven,Infantojuvenil / Drama / Literatura Estrangeira / Romance ,4.4,47653,84275,6448,132578,230,1804,13970,6517,45
Corte de Espinhos e Rosas #1,Sarah Janet Maas,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.0,106554,187702,12328,138169,662,3748,13936,13517,46
Divergente (Divergente  #1),Veronica Roth,Literatura Estrangeira / Ficção / Distopia / Infantojuvenil / Jovem adulto ,4.3,65406,141839,3225,55355,224,1486,13805,2861,47
O Rei Perverso (O Povo do Ar #2),Holly Black,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.5,75657,105823,5848,45870,144,749,13670,10719,48
Amanhecer (Crepúsculo #4),Stephenie Meyer,Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,3.9,96675,321071,2337,30099,514,3705,13422,2050,49
O Menino do Pijama Listrado,John Boyne,Literatura Estrangeira / Romance / Drama / Ficção ,4.4,81343,330978,6660,302077,239,2206,13353,4178,50
Dom Casmurro (Série Bom Livro),Machado de Assis,Ficção / Literatura Brasileira / Romance ,4.2,95661,285426,6287,33955,677,5200,13127,4207,51
O Caçador de Pipas,Khaled Hosseini,Drama / Literatura Estrangeira / Romance / Ficção ,4.4,68890,225989,2519,78181,185,4313,13020,2139,52
A Rainha do Nada (O Povo do Ar #3),Holly Black,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.6,64133,84372,2457,33687,100,248,12958,9812,53
A Cabana,William P. Young,Ficção / Literatura Estrangeira / Drama ,3.9,92078,333003,6183,101249,436,16231,12765,3737,54
A Tormenta de Espadas (Crônicas do Gelo e Fogo #3),George R. R. Martin,Literatura Estrangeira / Fantasia / Ficção ,4.8,38750,83117,4808,117728,122,1104,12690,983,55
Cidade dos Ossos (Os Instrumentos Mortais #1),Cassandra Clare,Aventura / Fantasia / Ficção / LGBT / GLS / Literatura Estrangeira / Romance / Jovem adulto ,4.1,68444,169717,6358,134695,460,3666,12640,4169,56
Todas as Suas (Im)Perfeições,Colleen Hoover,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.3,79525,118132,10098,117494,191,1655,12562,14379,57
Amor &amp; Gelato,Jenna Evans Welch,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.3,87234,138745,11755,129574,306,2564,12301,15814,58
Teto Para Dois,Beth O'Leary,"Humor, Comédia / Literatura Estrangeira / Romance ",4.3,85409,134147,9478,127812,146,3220,12231,15475,59
O Visconde Que Me Amava (Os Bridgertons #2),Julia Quinn,Romance / Ficção / Literatura Estrangeira ,4.4,61896,100507,2233,25841,299,435,11979,7421,60
Verity,Colleen Hoover,Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,4.5,80343,105949,5055,70073,89,392,11861,17691,61
Eclipse  (Crepúsculo #3),Stephenie Meyer,Fantasia / Literatura Estrangeira / Autoajuda / Chick-lit / Ficção / Romance ,3.8,102382,328721,2025,23076,405,2867,11705,2086,62
"Sussurro (Hush, Hush #01)",Becca Fitzpatrick,Jovem adulto / Literatura Estrangeira / Ficção / Romance ,4.2,52442,130860,1447,30310,285,1016,11693,2490,63
Aristóteles e Dante descobrem os segredos do Universo (Aristóteles e Dante #1),Benjamin Alire Sáenz,Ficção / Jovem adulto / LGBT / GLS / Literatura Estrangeira / Romance ,4.3,48071,71607,3491,69047,216,1022,11649,7591,64
A Sociedade do Anel (O Senhor dos Anéis #1),J. R. R. Tolkien,Aventura / Fantasia / Ficção / Literatura Estrangeira ,4.5,45005,114159,6764,60814,378,3357,11196,2254,65
Cem anos de solidão,Gabriel García Márquez,Ficção / Literatura Estrangeira / Romance ,4.6,30053,54470,4669,53265,302,2368,10889,2062,66
Trono de Vidro #1,Sarah J. Maas,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.3,63154,105836,6286,101383,392,1298,10833,7300,67
Cidade de Vidro (Os Instrumentos Mortais #3),Cassandra Clare,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.4,42908,90251,1785,111529,119,685,10795,2019,68
Capitães da Areia,Jorge Amado,Ficção / Literatura Brasileira / Romance ,4.3,54055,146237,2887,23707,208,2109,10790,2861,69
O Código Da Vinci (Robert Langdon #2),Dan Brown,Ficção / Literatura Estrangeira / Suspense e Mistério ,4.2,90194,312545,4478,104669,208,5379,10754,2115,70
Lua Nova (Crepúsculo #2),Stephenie Meyer,Fantasia / Ficção / Literatura Estrangeira / Romance ,3.6,108438,340834,2470,21443,373,3445,10754,2775,71
A Fúria dos Reis (Crônicas do Gelo e Fogo #2),George R. R. Martin,Fantasia ,4.6,47958,112968,7128,104292,233,1737,10744,1114,72
It: A Coisa,Stephen King,Literatura Estrangeira / Ficção / Terror ,4.5,28199,53429,14869,140465,238,3324,10561,3303,73
É Assim Que Começa (É Assim Que Acaba #2),Colleen Hoover,Drama / Ficção / Literatura Estrangeira / Romance ,4.6,59841,77409,10736,51511,86,171,10460,12213,74
Anjos e Demônios (Robert Langdon #1),Dan Brown,Literatura Estrangeira / Aventura / Suspense e Mistério / História / Ficção / Línguas Estrangeiras / Religião e Espiritualidade / Romance policial ,4.3,70130,230657,2965,76306,141,2981,10396,1592,75
Flores para Algernon,Daniel Keyes,Literatura Estrangeira / Romance / Drama / Ficção científica ,4.5,41373,50913,5140,49214,44,950,10399,9564,76
A Hipótese do Amor,Ali Hazelwood,Ficção / Literatura Estrangeira / Romance / Chick-lit / Contos / Jovem adulto ,4.5,57248,72957,6927,62144,136,556,10374,10667,77
O Acordo (Amores Improváveis #1),Elle Kennedy,Literatura Estrangeira / Romance ,4.3,67219,110135,2846,40227,347,672,10249,7977,78
Marley &amp; Eu,John Grogan,Animais de Estimação / Drama / Ficção / Literatura Estrangeira / Romance ,4.3,53929,207448,1564,58722,143,3775,10103,1625,79
A Casa de Hades (Os Heróis do Olimpo #4),Rick Riordan,Aventura / Fantasia / Infantojuvenil / Literatura Estrangeira ,4.6,40619,85803,2455,32203,128,500,10040,2031,80
Belo Desastre #1,Jamie Mcguire,Jovem adulto / Literatura Estrangeira / Romance ,3.9,38790,74953,1045,21623,187,1267,10008,1993,81
O Lado Feio do Amor,Colleen Hoover,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.1,70737,112781,5956,117010,170,1047,9922,11018,82
A Hospedeira,Stephenie Meyer,Ficção científica / Literatura Estrangeira ,4.2,38725,105136,2344,51056,209,8209,9751,1780,83
O Guia do Mochileiro das Galáxias #1,Douglas Adams,Ficção científica / Fantasia / Literatura Estrangeira ,4.3,53510,117580,4555,44031,353,2686,9703,2167,84
Princesa Mecânica (As Peças Infernais #3),Cassandra Clare,Fantasia / Infantojuvenil / Literatura Estrangeira / Romance ,4.7,23396,40918,849,41908,58,219,9703,2110,85
Mil Beijos de Garoto,Tillie Cole,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,3.9,55908,87489,10857,86421,180,6553,9698,11682,86
A Marca de Atena (Os Heróis do Olimpo #3),Rick Riordan,Ficção científica / Infantojuvenil / Literatura Estrangeira / Suspense e Mistério ,4.5,46450,102003,3270,72725,167,756,9674,2218,87
E Não Sobrou Nenhum,Agatha Christie,Romance policial / Ficção ,4.5,46290,75881,2900,45099,91,758,9666,5025,88
Heartstopper #2,Alice Oseman,"Ficção / HQ, comics, mangá / Jovem adulto / LGBT / GLS / Literatura Estrangeira / Romance ",4.7,68339,89914,1011,20779,107,55,9606,9167,89
O Mundo de Sofia,Jostein Gaarder,Filosofia / Literatura Estrangeira / Romance / Ficção ,4.2,43214,129742,11384,87425,755,13052,9459,1960,90
A Cidade do Sol,Khaled Hosseini,Ficção / Romance / Drama / Literatura Estrangeira ,4.5,36009,89709,1264,36877,102,1296,9423,1626,91
Mentirosos,E. Lockhart,Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance / Suspense e Mistério ,3.9,82055,126433,6427,86819,145,2655,9404,14660,92
Rainha das Sombras (Trono de Vidro #4),Sarah Janet Maas,Fantasia / Literatura Estrangeira / Romance ,4.7,34597,57202,1750,38993,118,229,9391,4046,93
Para Todos os Garotos que Já Amei #1,Jenny Han,Ficção / Literatura Estrangeira / Romance ,4.2,57682,142549,4043,98576,246,1360,9360,3768,94
Cinquenta Tons de Cinza #1,E. L. James,Erótico / Literatura Estrangeira / Romance / Ficção ,3.6,62156,224106,4059,22034,363,6421,9218,2362,95
Coraline,Neil Gaiman,Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Suspense e Mistério / Terror / Aventura / Horror ,4.4,54604,88217,4284,79974,236,619,9116,7066,96
A Maldição do Tigre (A Saga do Tigre #1),Colleen Houck,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.3,30013,57618,2009,33606,246,1718,9108,1666,97
Querido John,Nicholas Sparks,Drama / Literatura Estrangeira / Romance / Ficção ,4.0,59361,228057,2300,89929,167,2736,9074,2088,98
O Nome do Vento (A Crônica do Matador do Rei #1),Patrick Rothfuss,Fantasia / Ficção / Literatura Estrangeira ,4.7,20889,31922,3938,40643,223,881,9037,1436,99
A Sombra do Vento (O Cemitério dos Livros Esquecidos #01),Carlos Ruiz Zafón ,Literatura Estrangeira / Romance / Suspense e Mistério / Aventura / Fantasia / Ficção / Infantojuvenil ,4.6,24542,41925,2201,68802,161,1211,9009,1828,100
Incendeia-me (Estilhaça-me #3),Tahereh Mafi,Distopia / Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,4.6,35339,54077,1162,32133,77,201,9003,4751,101
A Estreia de Fani (Fazendo Meu Filme #1),Paula Pimenta,Literatura Brasileira / Romance ,4.3,43350,86922,1588,27874,363,804,8905,3078,102
O Sol é Para Todos,Harper Lee,Ficção / Literatura Estrangeira ,4.6,28023,49002,3990,128611,75,771,8820,3253,103
Cidades de Papel,John Michael Green,Literatura Estrangeira ,3.6,72384,183429,5199,145506,215,4918,8797,2974,104
O Retorno do Rei (O Senhor dos Anéis #3),J. R. R. Tolkien,Fantasia / Ficção / Literatura Estrangeira ,4.7,30333,74753,1282,65915,134,730,8670,1034,105
As Duas Torres (O Senhor dos Anéis #2),J. R. R. Tolkien,Aventura / Drama / Fantasia / Ficção / Literatura Estrangeira / Suspense e Mistério ,4.6,34226,82923,2486,65908,151,1114,8668,1256,106
