titulo,autor,genero,nota,n_aval,leram,lendo,querem_ler,relendo,abandonaram,favoritos,n_resenhas,mais_lidos
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil ,4.5,223363,728497,9928,166487,1931,3591,49257,11937,1
Harry Potter e a Pedra Filosofal (Harry Potter #1),Joanne Kathleen Rowling,Aventura / Fantasia / Literatura Estrangeira / Ficção / Infantojuvenil ,4.5,261972,694996,17620,150151,2505,4015,51627,13614,2
A Culpa é das Estrelas,John Michael Green,Literatura Estrangeira / Romance ,4.2,181958,590691,12211,255585,1096,5932,37076,8898,3
Harry Potter e a Câmara Secreta (Harry Potter #2),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Literatura Estrangeira / Infantojuvenil ,4.4,213715,589354,10914,120071,1146,2322,37951,8581,4
Harry Potter e o Prisioneiro de Azkaban (Harry Potter #3),Joanne Kathleen Rowling,Aventura / Fantasia / Literatura Estrangeira / Ficção / Infantojuvenil ,4.7,193141,543127,8820,144888,933,1761,51838,8171,5
Harry Potter e o Cálice de Fogo (Harry Potter #4),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.6,170184,499025,11991,180470,1006,2610,39337,6496,6
Harry Potter e a Ordem da Fênix (Harry Potter #5),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Línguas Estrangeiras / Literatura Estrangeira / Romance ,4.6,154901,459477,9794,192196,889,2176,37154,5675,7
Harry Potter e o Enigma do Príncipe (Harry Potter #6),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,152296,451066,4637,196067,682,1134,39353,5391,8
O Ladrão de Raios (Percy Jackson e os Olimpianos #1),Rick Riordan,Aventura / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Romance ,4.4,171094,447023,12041,119511,1419,3355,28684,10290,9
Harry Potter e as Relíquias da Morte (Harry Potter #7),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,147310,435865,4400,189692,855,1294,42111,5468,10
Crepúsculo #1,Stephenie Meyer,Romance / Literatura Estrangeira / Ficção / Fantasia ,3.8,131932,413557,5778,35841,947,6796,17164,5535,11
A Menina que Roubava Livros,Markus Zusak,Drama / Ficção / Literatura Estrangeira / Romance / História ,4.5,135622,413367,16146,313684,1061,20561,42433,5571,12
A Seleção #1,Kiera Cass,Jovem adulto / Romance / Ficção ,4.3,164355,388472,9924,164522,1079,2452,33785,12315,13
Lua Nova (Crepúsculo #2),Stephenie Meyer,Fantasia / Ficção / Literatura Estrangeira / Romance ,3.6,108438,340834,2469,21435,373,3445,10753,2775,14
O Mar de Monstros (Percy Jackson e os Olimpianos #2),Rick Riordan,Fantasia / Literatura Estrangeira / Aventura / Infantojuvenil ,4.2,136286,338904,4995,51786,504,1369,15454,6383,15
A Cabana,William P. Young,Ficção / Literatura Estrangeira / Drama ,3.9,92078,333003,6183,101249,436,16231,12765,3737,16
O Menino do Pijama Listrado,John Boyne,Literatura Estrangeira / Romance / Drama / Ficção ,4.4,81341,330978,6662,302063,239,2206,13353,4178,17
Eclipse  (Crepúsculo #3),Stephenie Meyer,Fantasia / Literatura Estrangeira / Autoajuda / Chick-lit / Ficção / Romance ,3.8,102382,328721,2025,23076,405,2867,11705,2086,18
Jogos Vorazes #1,Suzanne Collins,Distopia ,4.6,127258,324124,6652,181053,488,1792,33935,7501,19
A Elite (A Seleção #2),Kiera Cass,Ficção / Infantojuvenil / Literatura Estrangeira / Romance ,4.0,138233,323593,5756,112439,416,1615,20413,7835,20
Amanhecer (Crepúsculo #4),Stephenie Meyer,Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,3.9,96675,321071,2337,30097,514,3705,13422,2050,21
O Diário de Anne Frank,Anne Frank,"Literatura Estrangeira / Biografia, Autobiografia, Memórias / Drama / Não-ficção ",4.5,111660,315324,21301,253857,694,8790,19696,8127,22
O Código Da Vinci (Robert Langdon #2),Dan Brown,Ficção / Literatura Estrangeira / Suspense e Mistério ,4.2,90193,312541,4477,104669,208,5379,10754,2115,23
A Maldição do Titã (Percy Jackson &amp; Os Olimpianos #03),Rick Riordan,Fantasia / Literatura Estrangeira ,4.5,122656,306963,3908,75034,405,903,20572,5574,24
A Escolha (A Seleção #3),Kiera Cass,Ficção / Literatura Estrangeira / Romance ,4.4,129563,301705,3726,119017,354,874,29324,8112,25
A Batalha do Labirinto (Percy Jackson &amp; Os Olimpianos #4),Rick Riordan,Fantasia / Infantojuvenil / Literatura Estrangeira ,4.5,114480,286245,3344,73311,350,652,19513,4934,26
Dom Casmurro (Série Bom Livro),Machado de Assis,Ficção / Literatura Brasileira / Romance ,4.2,95661,285426,6287,33955,677,5200,13127,4207,27
A Revolução dos Bichos,George Orwell,Ficção / Distopia / Literatura Estrangeira ,4.4,126834,281681,11031,130400,341,2542,17272,12865,28
Em Chamas (Jogos Vorazes #2),Suzanne Collins,Distopia ,4.6,106218,269883,4169,134853,309,1062,29743,4898,29
O Último Olimpiano (Percy Jackson e os Olimpianos #5),Rick Riordan,Fantasia / Infantojuvenil ,4.6,106377,268090,2538,82538,308,571,22543,5068,30
É Assim Que Acaba,Colleen Hoover,Drama / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.6,158251,245893,18330,183189,667,1255,36687,30766,31
A Esperança (Jogos Vorazes #3),Suzanne Collins,Aventura ,4.4,96465,244917,3976,143293,267,1425,21867,4722,32
"Quem É Você, Alasca?",John Michael Green,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.0,96829,237636,7940,196236,528,5168,20664,5628,33
Anjos e Demônios (Robert Langdon #1),Dan Brown,Literatura Estrangeira / Aventura / Suspense e Mistério / História / Ficção / Línguas Estrangeiras / Religião e Espiritualidade / Romance policial ,4.3,70130,230657,2965,76306,141,2981,10396,1592,34
Querido John,Nicholas Sparks,Drama / Literatura Estrangeira / Romance / Ficção ,4.0,59361,228057,2300,89929,167,2736,9074,2088,35
O Caçador de Pipas,Khaled Hosseini,Drama / Literatura Estrangeira / Romance / Ficção ,4.4,68889,225972,2522,78181,185,4313,13020,2139,36
Cinquenta Tons de Cinza #1,E. L. James,Erótico / Literatura Estrangeira / Romance / Ficção ,3.6,62156,224106,4059,22034,363,6421,9218,2362,37
Extraordinário,R. J. Palacio,Ficção / Infantojuvenil / Literatura Estrangeira ,4.5,92976,208319,5868,84582,270,2022,25855,5782,38
Marley &amp; Eu,John Grogan,Animais de Estimação / Drama / Ficção / Literatura Estrangeira / Romance ,4.3,53929,207448,1563,58722,143,3775,10103,1625,39
As Crônicas de Nárnia,Clive Staples Lewis ,Aventura / Crônicas / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Infantil ,4.5,65601,207432,24106,198213,825,10248,20171,2926,40
Como Eu Era Antes de Você #1,Jojo Moyes,Literatura Estrangeira / Romance / Ficção / Jovem adulto ,4.4,80276,203001,8145,153688,269,2861,23810,4742,41
Os sete maridos de Evelyn Hugo,Taylor Jenkins Reid,Ficção / LGBT / GLS / Literatura Estrangeira / Romance ,4.7,137557,191043,20239,174312,523,2112,44854,29982,42
As Vantagens de Ser Invisível,Stephen Chbosky,Literatura Estrangeira / Ficção / Jovem adulto ,4.4,89471,189858,7594,190328,473,2745,26499,7899,43
Corte de Espinhos e Rosas #1,Sarah Janet Maas,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.0,106552,187697,12334,138155,662,3748,13935,13516,44
A Rainha Vermelha #1,Victoria Aveyard,Ficção / Literatura Estrangeira / Fantasia / Jovem adulto / Distopia ,4.2,93203,184659,14497,206330,638,5063,16385,10228,45
Cidades de Papel,John Michael Green,Literatura Estrangeira ,3.6,72382,183429,5199,145506,215,4918,8797,2974,46
O Herói Perdido (Os Heróis do Olimpo #1),Rick Riordan,Ficção / Fantasia / Literatura Estrangeira / Aventura / Infantojuvenil ,4.2,66469,172622,4049,52235,273,1242,8099,3247,47
A Guerra dos Tronos (Crônicas do Gelo e Fogo #1),George R. R. Martin,Fantasia / Aventura / Ficção / Jovem adulto / Literatura Estrangeira ,4.7,72360,171578,18519,118298,701,6233,19789,2574,48
A Última Música,Nicholas Sparks,Drama / Literatura Estrangeira / Romance / Ficção ,4.2,46766,170992,1752,75173,145,1885,8602,1429,49
Cidade dos Ossos (Os Instrumentos Mortais #1),Cassandra Clare,Aventura / Fantasia / Ficção / LGBT / GLS / Literatura Estrangeira / Romance / Jovem adulto ,4.1,68444,169698,6358,134695,460,3666,12640,4169,50
Cinquenta Tons Mais Escuros (Cinquenta Tons de Cinza #2),E. L. James,Erótico / Romance / Literatura Estrangeira / Ficção ,3.9,46182,166212,2379,18511,240,1868,7839,985,51
Fallen #1,Lauren Kate,Romance / Suspense e Mistério ,3.7,52375,162421,2533,35861,343,3237,7269,1939,52
O Cortiço,Aluísio Azevedo,Literatura Brasileira / Ficção ,3.7,51098,162040,2882,18289,216,4350,3078,1781,53
A Herdeira (A Seleção #4),Kiera Cass,Ficção / Literatura Estrangeira / Romance / Distopia / Infantojuvenil ,3.4,67056,158757,3749,64945,165,4366,6512,3421,54
O Morro dos Ventos Uivantes,Emily Brontë,Ficção / Romance / Literatura Estrangeira ,4.0,68066,153700,10498,114628,537,10717,14174,6635,55
1984,George Orwell,Distopia / Ficção científica ,4.5,80166,152375,20270,162789,430,4564,16978,8274,56
Corte de Névoa e Fúria (Corte de Espinhos e Rosas #2),Sarah Janet Maas,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.6,89408,152210,7398,85894,583,1423,28759,11041,57
O Hobbit,J.R.R. Tolkien,Fantasia / Ficção ,4.5,67515,151604,7543,93148,512,2511,17635,3284,58
Memórias Póstumas de Brás Cubas (Obra-Prima de Cada Autor #18),Machado de Assis,Ficção / Literatura Brasileira / Romance ,4.1,57319,151301,4392,29563,301,3963,6847,2588,59
O Príncipe Cruel (O Povo do Ar #1),Holly Black,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.4,98249,149911,13466,124279,503,2260,17513,15775,60
Capitães da Areia,Jorge Amado,Ficção / Literatura Brasileira / Romance ,4.3,54053,146235,2887,23702,208,2109,10790,2860,61
O Símbolo Perdido (Robert Langdon #3),Dan Brown,Aventura / Crime / Ficção / Literatura Estrangeira / Romance policial / Suspense e Mistério ,4.1,45993,142605,3166,71256,124,2173,6146,1379,62
Para Todos os Garotos que Já Amei #1,Jenny Han,Ficção / Literatura Estrangeira / Romance ,4.2,57679,142549,4043,98576,246,1360,9360,3768,63
Divergente (Divergente  #1),Veronica Roth,Literatura Estrangeira / Ficção / Distopia / Infantojuvenil / Jovem adulto ,4.3,65405,141839,3224,55355,224,1486,13805,2861,64
Amor &amp; Gelato,Jenna Evans Welch,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.3,87228,138732,11753,129558,306,2564,12300,15814,65
Orgulho e preconceito,Jane Austen,Ficção / Literatura Estrangeira / Romance ,4.5,83012,136923,13785,98810,759,6657,27173,7669,66
Teto Para Dois,Beth O'Leary,"Humor, Comédia / Literatura Estrangeira / Romance ",4.3,85404,134130,9480,127805,146,3220,12230,15474,67
"Os Contos de Beedle, O Bardo (Harry Potter)",Joanne Kathleen Rowling,Contos / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira ,4.2,50776,132965,1063,54211,81,387,6995,1874,68
"Sussurro (Hush, Hush #01)",Becca Fitzpatrick,Jovem adulto / Literatura Estrangeira / Ficção / Romance ,4.2,52441,130813,1446,30310,285,1018,11693,2490,69
"Vermelho, Branco e Sangue Azul",Casey McQuiston,"Humor, Comédia / LGBT / GLS / Romance ",4.4,85156,130751,20201,113806,814,6048,18512,14291,70
O Mundo de Sofia,Jostein Gaarder,Filosofia / Literatura Estrangeira / Romance / Ficção ,4.2,43213,129742,11384,87425,755,13052,9459,1960,71
Fortaleza Digital,Dan Brown,Aventura / Ficção / Literatura Estrangeira / Romance policial ,3.9,42701,128821,1311,34414,70,2240,3770,1045,72
Mentirosos,E. Lockhart,Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance / Suspense e Mistério ,3.9,82051,126433,6427,86819,145,2655,9404,14660,73
Corte de Asas e Ruína (Corte de Espinhos e Rosas #3),Sarah Janet Maas,Fantasia / Ficção / Literatura Estrangeira / Romance / Jovem adulto ,4.5,72772,125170,8298,74080,301,1634,15058,8330,74
A Coroa (A Seleção #5),Kiera Cass,Distopia / Ficção / Literatura Estrangeira / Romance / Infantojuvenil ,3.2,50202,124946,2231,62194,79,2936,3299,2964,75
O Teorema Katherine,John Michael Green,Ficção ,3.4,51723,123212,4571,142499,101,8573,5135,2092,76
O Duque e Eu (Os Bridgertons #1),Julia Quinn,Ficção / Literatura Estrangeira / Romance ,3.8,72953,122145,4336,36436,209,1451,8064,8471,77
O Alquimista,Paulo Coelho,Literatura Brasileira / Romance / Autoajuda / Ficção / Religião e Espiritualidade ,3.8,38779,120988,1187,13214,144,1433,4326,1641,78
Iracema,José Martiniano de Alencar,Literatura Brasileira / Romance ,3.1,30371,120557,792,8293,65,2604,655,1020,79
O Filho de Netuno (Os Heróis do Olimpo #2),Rick Riordan,Aventura / Jovem adulto ,4.3,55211,119555,2842,68358,178,681,8110,2436,80
Todas as Suas (Im)Perfeições,Colleen Hoover,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.3,79521,118109,10097,117494,191,1655,12559,14378,81
O Guia do Mochileiro das Galáxias #1,Douglas Adams,Ficção científica / Fantasia / Literatura Estrangeira ,4.3,53509,117580,4556,44027,353,2686,9702,2167,82
A Sociedade do Anel (O Senhor dos Anéis #1),J. R. R. Tolkien,Aventura / Fantasia / Ficção / Literatura Estrangeira ,4.5,45004,114159,6764,60811,378,3357,11196,2254,83
Alice No País das Maravilhas,Lewis Carroll,Infantil / Fantasia / Ficção / Infantojuvenil ,4.1,42402,113167,3311,40367,195,1053,5575,3180,84
A Fúria dos Reis (Crônicas do Gelo e Fogo #2),George R. R. Martin,Fantasia ,4.6,47958,112968,7128,104292,233,1737,10744,1114,85
Heartstopper #1,Alice Oseman,"HQ, comics, mangá / LGBT / GLS / Romance / Ficção / Jovem adulto / Literatura Estrangeira ",4.7,84349,113127,1784,34425,204,91,14388,13511,86
O Lado Feio do Amor,Colleen Hoover,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.1,70731,112781,5957,117004,170,1047,9922,11017,87
Assassinato No Expresso do Oriente,Agatha Christie,Romance policial / Crime / Suspense e Mistério ,4.3,61310,112559,3099,37932,76,1326,6909,5153,88
A Metamorfose (Clássicos Universais),Franz Kafka,Ficção / Literatura Estrangeira / Romance ,4.1,61173,111784,3083,26111,151,1101,6457,5244,89
O Acordo (Amores Improváveis #1),Elle Kennedy,Literatura Estrangeira / Romance ,4.3,67217,110135,2846,40226,347,672,10249,7977,90
A Droga da Obediência (Os Karas #1),Pedro Bandeira de Luna Filho,Aventura / Ficção / Literatura Brasileira / Romance ,4.0,38040,109414,544,4620,115,402,3203,985,91
O Despertar (Diários do Vampiro #1),L. J. Smith,Ficção / Literatura Estrangeira / Jovem adulto ,3.4,35028,108970,1019,9327,96,1804,2379,979,92
Vidas Secas,Graciliano Ramos,Romance ,4.0,45598,107238,1629,14892,150,1890,4293,1848,93
Trono de Vidro #1,Sarah J. Maas,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.3,63153,105836,6288,101383,392,1298,10833,7300,94
Verity,Colleen Hoover,Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,4.5,80334,105940,5055,70072,89,392,11861,17691,95
O Rei Perverso (O Povo do Ar #2),Holly Black,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.5,75652,105779,5847,45862,144,749,13670,10719,96
O Monge e O Executivo,James C. Hunter,Administração / Autoajuda / Ficção / Literatura Estrangeira / Negócios e Empreendedorismo ,3.8,30239,105310,1847,9237,189,2112,2236,1084,97
Insurgente (Divergente  #2),Veronica Roth,Literatura Estrangeira / Ficção / Infantojuvenil / Distopia ,4.1,47890,105208,2489,37480,94,1525,7522,1532,98
A Hospedeira,Stephenie Meyer,Ficção científica / Literatura Estrangeira ,4.2,38725,105134,2344,51056,209,8207,9751,1780,99
A Moreninha (Série Bom Livro),Joaquim Manuel de Macedo,Literatura Brasileira / Ficção / Romance ,3.6,25640,102236,526,5740,57,1222,1892,725,100
A Marca de Atena (Os Heróis do Olimpo #3),Rick Riordan,Ficção científica / Infantojuvenil / Literatura Estrangeira / Suspense e Mistério ,4.5,46450,102003,3270,72725,167,756,9674,2218,101
Cidade das Cinzas (Os Instrumentos Mortais #2),Cassandra Clare,Romance / Aventura / Ficção / Infantojuvenil / LGBT / GLS / Literatura Estrangeira ,4.1,49050,101147,2663,107779,162,1207,8021,2296,102
Ponto de Impacto,Dan Brown,Ficção / Literatura Estrangeira / Suspense e Mistério / Ficção científica ,4.0,33777,100501,1321,35811,37,1928,3447,871,103
Memórias de um Sargento de Milícias (Bom Livro),Manuel Antônio de Almeida,Romance / Literatura Brasileira / Ficção ,3.4,26567,100471,887,8446,60,2114,889,687,104
O Visconde Que Me Amava (Os Bridgertons #2),Julia Quinn,Romance / Ficção / Literatura Estrangeira ,4.4,61894,100507,2233,25841,299,435,11979,7421,105
P.S.: Ainda Amo Você (Para Todos os Garotos que Já Amei #2),Jenny Han,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.0,43817,99821,2300,53655,105,1052,5176,2469,106
